"row";"column";"CdSO4-fit";"CdS-fit"
4;160;0.00357217;0.996428
4;161;0.0107638;0.989236
4;162;0.0216438;0.978356
4;163;0.0192055;0.980795
4;164;0.0201942;0.979806
4;165;0.0223143;0.977686
4;166;0.00597619;0.994024
4;167;0;1
4;168;0;1
4;169;0;1
4;170;0;1
4;171;0;1
4;172;0.00485853;0.995141
4;173;0.0029472;0.997053
4;174;0.00126446;0.998736
4;175;0;1
4;176;0.0112545;0.988745
4;177;0;1
4;178;0.000387321;0.999613
4;179;0.0165495;0.98345
4;180;0.0173613;0.982639
4;181;0;1
4;182;0;1
4;183;0.0121437;0.987856
4;184;0.0108096;0.98919
4;185;0.00345983;0.99654
4;186;0.00424568;0.995754
4;187;0.0172307;0.982769
4;188;0.0152631;0.984737
4;189;0.0371751;0.962825
4;190;0;1
4;191;0;1
4;192;0;1
4;193;0;1
5;0;0;0
5;1;0;0
5;2;0;0
5;3;0;0
5;4;0;0
5;5;0;0
5;6;0;0
5;7;0;0
5;8;0;0
5;9;0;0
5;10;0;0
5;11;0;0
5;12;0;0
5;13;0;0
5;14;0;1
5;15;0;1
5;16;0;1
5;17;0.00496343;0.995037
5;18;0;1
5;19;0;1
5;20;0;1
5;21;0;1
5;22;0.0182096;0.98179
5;23;0.00453574;0.995464
5;24;0;1
5;25;0;1
5;26;0;1
5;27;0;1
5;28;0;1
5;29;0;1
5;30;0.0156939;0.984306
5;31;0;1
5;32;0;1
5;33;0;1
5;34;0;1
5;35;0;1
5;36;0;1
5;37;0.0185861;0.981414
5;38;0.0225773;0.977423
5;39;0;1
5;40;0;1
5;41;0;1
5;42;0.0308576;0.969142
5;43;0.0325254;0.967475
5;44;0.0194931;0.980507
5;45;0.0217257;0.978274
5;46;0.027526;0.972474
5;47;0.0411433;0.958857
5;48;0.0241963;0.975804
5;49;0;1
5;50;0;1
5;51;0;1
5;52;0;1
5;53;0;1
5;54;0.0317947;0.968205
5;55;0.0367794;0.963221
5;56;0.0560679;0.943932
5;57;0.0570845;0.942916
5;58;0;1
5;59;0;1
5;60;0.0461907;0.953809
5;61;0.0488139;0.951186
5;62;0.0299707;0.970029
5;63;0.0218476;0.978152
5;64;0.0425248;0.957475
5;65;0;1
5;66;0.0317126;0.968287
5;67;0;1
5;68;0.0224807;0.977519
