"row";"column";"SD1_sampleC_S_energy_2503.5_eV.tif_D1_sampleC.TIFF_Array_53";"CdSO4-fit";"CdS-fit"
2;124;9141.76;0;1
2;125;9212.21;0.00889705;0.991103
2;126;9311.21;0.0673877;0.932612
2;127;10016.7;0;1
2;128;10547;0.0688207;0.931179
2;129;9342.52;0;1
2;130;7457.33;0.0220683;0.977932
2;131;6459.09;0.00718765;0.992812
2;132;6633.34;0.0153325;0.984668
2;133;6763.38;0;1
2;134;6148.89;0.00299174;0.997008
2;135;5610.28;0;1
2;136;5427.06;5.55e-17;1
2;137;5679.85;5.55e-17;1
2;138;6795.31;0.0146104;0.98539
2;139;9017.79;0.0209412;0.979059
2;140;10578.7;0.00820156;0.991798
2;141;10609.9;0;1
2;142;9854.79;0;1
2;143;10069.3;0;1
2;144;10816.6;0.00248334;0.997517
2;145;11051.9;0;1
2;146;10496.7;0;1
2;147;9852.93;0;1
2;148;10562.8;0.00516516;0.994835
2;149;11606.7;0;1
2;150;11121.5;0;1
2;151;9791.95;0;1
2;152;9244.52;0;1
2;153;8819.77;0;1
2;154;8745.78;0;1
2;155;9381.97;0;1
3;0;1338.77;0;0
3;1;1377.95;0;0
3;2;1581;0;0
3;3;3222.71;0.219513;0.780487
3;4;6243.9;0.181747;0.818253
3;5;7957.76;0.096351;0.903649
3;6;7319.64;0.03372;0.96628
3;7;7111.83;0.0161385;0.983862
3;8;7586.59;0.0812667;0.918733
3;9;6673.06;0.0169959;0.983004
3;10;6364.23;0;1
3;11;6609.83;0.00417365;0.995826
3;12;6483.83;0.0148781;0.985122
3;13;6530.28;0.0138338;0.986166
3;14;6530.35;0;1
3;15;6366.85;0.0140007;0.985999
3;16;5498.14;0.00830206;0.991698
3;17;4917.95;0;1
3;18;4975.85;0;1
3;19;4688.22;0;1
3;20;4695.2;0;1
3;21;4699.68;0.0170815;0.982918
3;22;4599.2;0;1
3;23;4463.83;0.00674355;0.993256
3;24;4401.47;0.00630842;0.993692
3;25;4136.38;0;1
3;26;3886.31;0;1
3;27;4091.43;0;1
3;28;5134.01;0;1
3;29;6590.46;0;1
3;30;7524.66;0;1
3;31;7785.17;0;1
3;32;7636.28;5.55e-17;1
3;33;7280.85;0;1
3;34;7189.88;0;1
3;35;7215.36;0;1
3;36;7158.56;0;1
3;37;7365.1;0;1
3;38;7439.13;5.55e-17;1
3;39;7365.76;0;1
3;40;7630.15;0;1
3;41;8365.71;0.0045601;0.99544
3;42;8469.86;0.0213954;0.978605
3;43;9110.65;0.0156517;0.984348
3;44;9659.57;0;1
3;45;10802.9;0;1
3;46;13061.6;0;1
3;47;14893.2;0;1
3;48;15122.1;0;1
3;49;14568.6;0;1
3;50;14100.1;0;1
3;51;14454;0;1
3;52;15376.1;0;1
3;53;15227.5;0;1
3;54;14240.7;0;1
3;55;13613;0;1
3;56;13687.7;0.00322715;0.996773
3;57;14048.6;0;1
3;58;13611.3;0;1
3;59;14775.9;0;1
3;60;15311;0;1
3;61;14632.1;0;1
3;62;15167.9;0;1
3;63;14817.4;0;1
3;64;14919.6;0;1
3;65;14965.3;0.00478845;0.995212
3;66;13523.3;0.029529;0.970471
3;67;11812.3;0.0249844;0.975016
3;68;9657.11;0;1
3;69;8689.44;0;1
3;70;9057.92;0;1
3;71;9651.39;0;1
3;72;11510.5;0;1
3;73;13331.4;0;1
3;74;13817.7;0;1
3;75;13409.5;0;1
3;76;12855.9;0;1
3;77;12500.8;0;1
3;78;11051.5;0.0315264;0.968474
3;79;10069.1;0;1
3;80;9201.23;0.0127305;0.98727
3;81;8802.46;0.0309972;0.969003
3;82;8545.58;0.0409558;0.959044
3;83;8054.41;0.0204308;0.979569
3;84;8118.92;0;1
3;85;9890.61;0;1
3;86;12825.3;0.0042257;0.995774
3;87;15613.4;0.00698162;0.993018
3;88;16842;0;1
3;89;17283.5;0.00761951;0.99238
3;90;18780.8;0.0225765;0.977423
3;91;18810.5;0.00684025;0.99316
3;92;18314.5;0.00335205;0.996648
3;93;17942.7;0.0315441;0.968456
3;94;16301;0.0152482;0.984752
